City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
378,Banda Aceh,ID,80.78,overcast clouds,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
382,Salalah,OM,79.81,broken clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
385,Camopi,GF,72.68,broken clouds,3.1655,-52.3158,La pousada
386,Samarai,PG,82.18,few clouds,-10.6167,150.6667,Nuli Sapi
391,Jinan,CN,81.84,broken clouds,36.6683,116.9972,Sofitel Silver Plaza Hotel Jinan
392,Poum,NC,79.18,clear sky,-20.2333,164.0167,
393,Maloh,PH,83.16,overcast clouds,9.056,122.9851,Centralle District Beach Resort
394,Singkawang,ID,78.76,broken clouds,0.9,109.0,Capital O 1822 Wahana Inn
396,Ondo,NG,71.82,overcast clouds,7.1,4.8333,Leisure Spring Hotel
398,Erenhot,CN,70.99,overcast clouds,43.6475,111.9767,Erenhot Rurouni Youth Hostel
400,Cockburn Town,TC,80.56,scattered clouds,21.4612,-71.1419,Osprey Beach Hotel
403,Baicheng,CN,77.41,broken clouds,45.6167,122.8167,Baicheng Didiao Inn
404,Amahai,ID,81.99,overcast clouds,-3.3333,128.9167,HOTEL ISABELA
406,Payo,ID,73.6,broken clouds,-3.7508,103.6372,Mess keban agung
407,Tarauaca,BR,73.72,broken clouds,-8.1614,-70.7656,Flat Temporada
409,Meulaboh,ID,77.45,overcast clouds,4.1363,96.1285,Kost Pria
410,Lompoc,US,71.74,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
412,Omboue,GA,74.1,few clouds,-1.5746,9.2618,Hotel Olako
417,Lorengau,PG,85.82,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
418,Luanda,AO,73.4,few clouds,-8.8368,13.2343,EPIC SANA Luanda
426,Manohar Thana,IN,84.04,clear sky,24.24,76.8018,GEETA SADAN
427,Nara,JP,71.96,few clouds,34.6851,135.8049,Guesthouse Nara Komachi
428,Fatehabad,IN,86.56,scattered clouds,29.5167,75.45,Duke Hotel & Restaurant
434,Matara,LK,78.28,broken clouds,5.9485,80.5353,Amaloh Boutique Resort
436,Cairns,AU,82.11,scattered clouds,-16.9167,145.7667,Mantra Trilogy Cairns
439,Kalmunai,LK,79.09,few clouds,7.4167,81.8167,VS Villa
